donor_country_iso3,year,channel,sourceObjects_Organization.id,destinationObjects_Location.name,id,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.code,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.organizationSubTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.code,destinationObjects_Cluster.organizationSubTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,sourceObjects_Project.organizationSubTypes,sourceObjects_Cluster.organizationSubTypes,multiyear,amountUSD,iso3,recipient,donor_country,source_org_type,subchannel,gha_channel,dummy,deflator,amountUSD_defl
CHE,2022,Government,2924,Myanmar,184840,,"",financial,2018-12-03T17:43:57.966Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: Health, Nutrition: DRR, Disaster prevention and preparedness , Multiyear 2018-2023, 2022 portion, total award CHF 638,000 (7F-10100.99)","",0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,184835,commitment,2018-12-04T10:20:13.443Z,1,incoming,single,638000,7F-10100.99,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,645096,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,600419.289798424
CHE,2022,Government,2924,Myanmar,184847,,"",financial,2018-12-03T17:52:42.928Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention andpreparedness , Multiyear 2018-2023, 2022 portion, total award CHF 300,000 (Z7H314300081)","",0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,184842,commitment,2018-12-04T10:24:36.867Z,1,incoming,single,3e+05,Z7H314300081,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,303337,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,282329.120176818
CHE,2022,Government,2924,Myanmar,184854,,"",financial,2018-12-03T18:00:56.413Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention andpreparedness , Multiyear 2018-2023,2022 portion,total award CHF 60,000 (Z7FH14800021)","",0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,184849,commitment,2018-12-04T10:31:07.051Z,1,incoming,single,60000,Z7FH14800021,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,60667,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,56465.4517377274
CHE,2022,NGO,2924,Burkina Faso,186844,,"",financial,2019-01-31T11:20:19.133Z,2018-09-30T00:00:00Z,,"Burkina Faso - Terre des Hommes: Amélioration de la sécurité alimentaire et nutritionnelle dans la région Boucle du Mouhoun , Multiyear 2018-2020 and  2022, 2022 portion,  total amount CHF 100,000 ( 7F-10118.01)","",0.971,2018-10-08T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,186840,commitment,2019-01-31T11:20:19.133Z,1,incoming,single,1e+05,7F-10118.01,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,9; 6,Nutrition; Food Security,shared; shared,NULL; NULL,"",36,single,"",,4758,Terre des Hommes International,single,NGO,,,"","",,,,"","",,"",43,2022,single,"",,"","","","",NULL; NULL,"",International,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,102987,BFA,Burkina Faso,Switzerland,Government,International,NGOs and CSOs,FALSE,1.07440918531544,95854.5416472436
CHE,2022,Uncategorized,2924,"",186850,,"",financial,2019-01-31T11:29:59.875Z,2018-09-30T00:00:00Z,,"Small-Project Credit Line through SDC EAA (Protecion, access and security)  , Multiyear 2018-2022, 2022 portion, total amount CHF 450,000 ( 7F-07700.03)","",0.971,2018-10-08T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,186845,commitment,2019-01-31T11:34:41.109Z,1,incoming,single,450000,7F-07700.03,"Switzerland, Government of",single,Government,39,2018,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","","","","",,"","","","",,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,463440,,"",Switzerland,Government,Uncategorized,Uncategorized,FALSE,1.07440918531544,431344.041296461
CHE,2022,NGO,2924,Afghanistan,187713,,"",financial,2019-02-26T10:31:51.430Z,2019-01-31T00:00:00Z,,"S t a y , Deliver and Protect (SDP): Protecion, access and security,  Multiyear 2019-2023, 2022 portion, total amount CHF 580,000 (7F-10164.01)",earmarked,0.998,2019-02-22T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,187709,commitment,2019-02-26T10:31:51.430Z,1,incoming,single,580000,7F-10164.01,"Switzerland, Government of",single,Government,40,2019,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","",1,single,"",,2178,Norwegian Refugee Council,single,NGO,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",International,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,581162,AFG,Afghanistan,Switzerland,Government,International,NGOs and CSOs,FALSE,1.07440918531544,540913.097117067
CHE,2022,Government,2924,Myanmar,187719,,"",financial,2019-02-26T10:37:43.644Z,2019-01-31T00:00:00Z,,"Direct Action: Social Infrastructure for Conflict Transformation and Peace Building
in Shan State,  Multiyear 2019-2023, 2022 portion, total amount CHF 90,000 (Z7FH14800023)",earmarked,0.998,2019-02-22T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,187715,commitment,2019-02-26T10:40:52.072Z,1,incoming,single,90000,Z7FH14800023,"Switzerland, Government of",single,Government,40,2019,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,90180,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,83934.5020803444
CHE,2022,Government,2924,Myanmar,187720,,"",financial,2019-02-26T10:38:11.557Z,2019-01-31T00:00:00Z,,"Direct Action: Social Infrastructure for Conflict Transformation and Peace Building
in Shan State,  Multiyear 2019-2023, 2023 portion, total amount CHF 90,000 (Z7FH14800023)",earmarked,0.998,2019-02-22T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,187715,commitment,2019-02-26T10:41:18.255Z,1,incoming,single,90000,Z7FH14800023,"Switzerland, Government of",single,Government,40,2019,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,90180,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,83934.5020803444
CHE,2022,Government,2924,Myanmar,187726,,"",financial,2019-02-26T10:46:58.739Z,2019-01-31T00:00:00Z,,"Direct Action: Social Infrastructure for Conflict Transformation and Peace Building
in Shan State,  Multiyear 2019-2023,2022 portion, total amount CHF 590,000 (7F-10072.99)",earmarked,0.998,2019-02-22T00:00:00Z,Standard,Multiyear,TRUE,CHF,Traditional aid,187721,commitment,2019-08-15T12:16:02.307Z,1,incoming,single,590000,7F-10072.99,"Switzerland, Government of",single,Government,40,2019,single,"",217,Switzerland,single,,,National government,"",,"","",,10,Protection,single,"","",153,single,"",,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",National government,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,591182,MMR,Myanmar,Switzerland,Government,National government,Public Sector,FALSE,1.07440918531544,550239.152903772
CHE,2022,Pooled fund,2924,Afghanistan,188010,,"",financial,2019-03-06T08:42:25.819Z,2019-03-06T00:00:00Z,2019-01-21T00:00:00Z,Afghanistan Humanitarian Fund 2022.,softly earmarked,,2019-03-06T00:00:00Z,Standard,"",TRUE,USD,Traditional aid,,commitment,2019-03-06T08:42:25.819Z,1,incoming,single,,MPTF 5647,"Switzerland, Government of",single,Government,40,2019,single,"",217,Switzerland,single,,,National government,"",,"","",,"","","","","",1,single,"",,8148,Afghanistan Humanitarian Fund,single,Pooled fund,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","",Country-based,"",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,1e+06,AFG,Afghanistan,Switzerland,Government,Country-based,UN Multi,FALSE,1.07440918531544,930744.090489514
CAN,2022,UN agency,2928,"",188810,,"",financial,2021-03-10T02:26:59.263Z,2019-03-19T00:00:00Z,2019-03-19T00:00:00Z,Response Readiness  [OCT 6496];[7402713],earmarked,1.316,2019-03-27T00:00:00Z,Standard,"",TRUE,CAD,Traditional aid,,commitment,2021-03-10T10:00:03.043Z,2,incoming,single,3e+05,[OCT 6496];[7402713],"Canada, Government of",single,Government,40,2019,single,"",40,Canada,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","","","","",,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,227964,,"",Canada,Government,Uncategorized,UN Multi,FALSE,1.20152957126909,189728.164375695
CAN,2022,UN agency,2928,Canada,188814,,"",financial,2019-03-27T04:25:41.605Z,2019-03-19T00:00:00Z,2019-03-19T00:00:00Z,UNDAC - Canada  [OCT 6496];[7402713],earmarked,1.316,2019-03-27T00:00:00Z,Standard,"",TRUE,CAD,Traditional aid,,commitment,2019-03-27T15:53:17.306Z,1,incoming,single,1e+05,[OCT 6496];[7402713],"Canada, Government of",single,Government,40,2019,single,"",40,Canada,single,,,National government,"",,"","",,26480,Coordination and support services,single,"","",40,single,"",,635,Specially Designated Contributions (OCHA),single,UN agency,,,"","",,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,"","","","","","",,,,,,,,,,FALSE,75988,CAN,Canada,Canada,Government,Uncategorized,UN Multi,FALSE,1.20152957126909,63242.7214585651
GBR,2022,UN agency,2917,Central African Republic,189195,,"",financial,2019-04-05T11:21:15.306Z,2019-04-01T00:00:00Z,2019-04-01T00:00:00Z,Emergency livelihood and food security assistance to strengthen the resilience of displaced people and returnees affected by the crisis in the Central African Republic (2022 portion),earmarked,0.764,2019-04-02T00:00:00Z,Standard,Multiyear,TRUE,GBP,Cash transfer programming (CTP),189191,commitment,2022-01-24T15:00:52.815Z,2,incoming,single,1e+06,"","United Kingdom, Government of",single,Government,40,2019,single,"",236,United Kingdom,single,,,National government,"",,"","",,6,Food Security,single,"","",43,single,"",,4399,Food & Agriculture Organization of the United Nations,single,UN agency,,1064,République Centrafricaine Plan de Réponse Humanitaire 2022,single,,,,"","",,"",43,2022,single,"",,"","","","","","","","",,"",,,,"","",,,,,,,,,,,,,,,,,,6351,Sécurité alimentaire,single,"","","",,,,,,,,,,FALSE,1308901,CAF,Central African Republic,United Kingdom,Government,Uncategorized,UN Multi,FALSE,1.13306681904634,1155184.29981178
